Date,AAPL.O
3/2/14,71.64707121
4/2/14,72.68421303
5/2/14,73.22706963
6/2/14,73.21564107
7/2/14,74.23992576
10/2/14,75.56992443
11/2/14,76.56563772
12/2/14,76.55992344
13/2/14,77.77563651
14/2/14,77.71277943
17/2/14,
18/2/14,77.99849343
19/2/14,76.76706609
20/2/14,75.87849555
21/2/14,75.03563925
24/2/14,75.36421035
25/2/14,74.57992542
26/2/14,73.90706895
27/2/14,75.38135319
28/2/14,75.17706768
3/3/14,75.39421032
4/3/14,75.89135268
5/3/14,76.05135252
6/3/14,75.82135275
7/3/14,75.77706708
10/3/14,75.84563844
11/3/14,76.58420913
12/3/14,76.65849477
13/3/14,75.80706705
14/3/14,74.95563933
17/3/14,75.24849618
18/3/14,75.9142098
19/3/14,75.89420982
20/3/14,75.5284959
21/3/14,76.12420959
24/3/14,77.02706583
25/3/14,77.85563643
26/3/14,77.11135146
27/3/14,76.77992322
28/3/14,76.69420902
31/3/14,76.67706618
1/4/14,77.37849405
2/4/14,77.50706535
3/4/14,76.96992303
4/4/14,75.97420974
7/4/14,74.78135379
8/4/14,74.77706808
9/4/14,75.75992424
10/4/14,74.78278236
11/4/14,74.22992577
14/4/14,74.52563976
15/4/14,73.99419743
16/4/14,74.14421157
17/4/14,74.99135358
18/4/14,
21/4/14,75.88135269
22/4/14,75.95692404
23/4/14,74.96421075
24/4/14,81.10991889
25/4/14,81.70563258
28/4/14,84.86991513
29/4/14,84.61848681
30/4/14,84.29848713
1/5/14,84.49705836
2/5/14,84.65420106
5/5/14,85.85134272
6/5/14,84.91562937
7/5/14,84.61848681
8/5/14,83.99848743
9/5/14,83.64884492
12/5/14,84.68991531
13/5/14,84.82277232
14/5/14,84.83848659
15/5/14,84.11705874
16/5/14,85.35848607
19/5/14,86.36991363
20/5/14,86.38705647
21/5/14,86.61562767
22/5/14,86.75277039
23/5/14,87.73276941
26/5/14,
27/5/14,89.37562491
28/5/14,89.14419657
29/5/14,90.76848066
30/5/14,90.428481
2/6/14,89.80705305
3/6/14,91.07705178
4/6/14,92.11705074
5/6/14,92.47847895
6/6/14,92.22419349
9/6/14,93.7
10/6/14,94.25
11/6/14,93.86
12/6/14,92.29
13/6/14,91.28
16/6/14,92.2
17/6/14,92.08
18/6/14,92.18
19/6/14,91.86
20/6/14,90.91
23/6/14,90.83
24/6/14,90.28
25/6/14,90.36
26/6/14,90.9
27/6/14,91.98
30/6/14,92.93
1/7/14,93.52
2/7/14,93.48
3/7/14,94.03
4/7/14,
7/7/14,95.968
8/7/14,95.35
9/7/14,95.39
10/7/14,95.035
11/7/14,95.22
14/7/14,96.45
15/7/14,95.32
16/7/14,94.78
